SUBJECT_ID	H1_COUNT	H2_COUNT
GTEX-111FC	10	16
GTEX-111FC	42	15
GTEX-111FC	17	35
GTEX-111FC	7	19
GTEX-111FC	10	23
GTEX-111FC	6	23
GTEX-111FC	7	14
GTEX-111YS	18	25
GTEX-111YS	21	28
GTEX-111YS	19	13
GTEX-111YS	19	26
GTEX-1122O	10	24
GTEX-1122O	19	22
GTEX-1122O	31	17
GTEX-1122O	32	13
GTEX-1122O	32	13
GTEX-11DZ1	14	14
GTEX-11DZ1	32	24
GTEX-11DZ1	14	10
GTEX-11DZ1	24	19
GTEX-11DZ1	33	11
GTEX-11DZ1	8	13
GTEX-11DZ1	16	12
GTEX-11DZ1	15	18
GTEX-11DZ1	31	12
GTEX-11DZ1	8	14
GTEX-11EI6	35	22
GTEX-11EI6	8	17
GTEX-11EI6	8	19
GTEX-11EM3	13	34
GTEX-11EM3	22	11
GTEX-11EM3	25	14
GTEX-11EM3	21	14
GTEX-11EQ8	30	31
GTEX-11EQ8	19	22
GTEX-11EQ8	24	19
GTEX-11EQ8	16	25
GTEX-11EQ8	26	21
GTEX-11I78	20	7
GTEX-11I78	29	15
GTEX-11I78	33	12
GTEX-11I78	26	13
GTEX-11LCK	38	38
GTEX-11LCK	13	19
GTEX-11P7K	6	15
GTEX-11P7K	9	15
GTEX-11P81	11	15
GTEX-11P81	8	13
GTEX-11P81	10	12
GTEX-11PRG	28	19
GTEX-11PRG	18	10
GTEX-11PRG	13	9
GTEX-11TTK	14	16
GTEX-11TTK	11	10
GTEX-11TTK	14	20
GTEX-11TTK	20	19
GTEX-11TTK	20	12
GTEX-11TTK	5	16
GTEX-11TUW	11	11
GTEX-11TUW	17	19
GTEX-11TUW	17	11
GTEX-11TUW	11	10
GTEX-11TUW	26	6
GTEX-11TUW	15	10
GTEX-11UD2	15	16
GTEX-11UD2	41	29
GTEX-11UD2	17	36
GTEX-11UD2	10	20
GTEX-11UD2	27	44
GTEX-11WQC	25	22
GTEX-11WQC	17	21
GTEX-11WQC	20	20
GTEX-11WQC	24	24
GTEX-11XUK	21	22
GTEX-11XUK	37	32
GTEX-11XUK	20	18
GTEX-11XUK	19	20
GTEX-11XUK	9	14
GTEX-11XUK	20	23
GTEX-11XUK	18	23
GTEX-11ZTT	22	19
GTEX-11ZTT	29	21
GTEX-11ZUS	13	16
GTEX-11ZUS	12	13
GTEX-1211K	24	19
GTEX-1211K	21	30
GTEX-1211K	30	17
GTEX-1211K	19	10
GTEX-1211K	29	11
GTEX-1211K	39	11
GTEX-1211K	23	7
GTEX-1212Z	5	16
